OSS;NUMERO_ISCRIZIONE_RUI_PF;NUMERO_ISCRIZIONE_RUI_PG;QUALIFICA_INTERMEDIARIO;RESPONSABILE
5585;A000182212;A000523751;Responsabile dell'attività di intermediazione;
5586;A000197656;A000534211;Responsabile dell'attività di intermediazione;
5587;A000003846;A000530836;Responsabile dell'attività di intermediazione;
5588;A000000448;A000688626;Responsabile dell'attività di intermediazione;
5589;A000001552;A000602464;Responsabile dell'attività di intermediazione;
5590;B000013202;B000014278;Rappresentante Legale;
5591;A000096548;A000165517;Responsabile dell'attività di intermediazione;
5592;A000054778;A000077598;Responsabile dell'attività di intermediazione;
5593;A000185769;A000388549;Responsabile dell'attività di intermediazione;
5594;A000087532;A000087533;Responsabile dell'attività di intermediazione;
5595;B000013740;B000014371;Rappresentante Legale;
5596;B000054365;B000054364;Rappresentante Legale;
5597;A000134742;A000657607;Responsabile dell'attività di intermediazione;
5598;A000141547;A000077774;Responsabile dell'attività di intermediazione;
5599;A000140991;A000197658;Responsabile dell'attività di intermediazione;
5600;A000001734;A000250512;Responsabile dell'attività di intermediazione;
5601;A000103633;A000423938;Responsabile dell'attività di intermediazione;
5602;A000001922;A000218726;Responsabile dell'attività di intermediazione;
5603;A000157815;A000182072;Responsabile dell'attività di intermediazione;
5604;B000057303;B000231632;Responsabile dell'attività di intermediazione;
5605;B000059823;B000188216;Responsabile dell'attività di intermediazione;
5606;A000001747;A000011943;Responsabile dell'attività di intermediazione;
5607;A000004535;A000012389;Responsabile dell'attività di intermediazione;
5608;A000104290;A000077857;Responsabile dell'attività di intermediazione;
5609;A000182244;A000804593;Responsabile dell'attività di intermediazione;
5610;A000087210;A000049739;Responsabile dell'attività di intermediazione;
5611;A000054861;A000011849;Responsabile dell'attività di intermediazione;
5612;A000070312;A000710348;Responsabile dell'attività di intermediazione;
5613;A000049603;A000103693;Responsabile dell'attività di intermediazione;
5614;A000165498;A000157843;Responsabile dell'attività di intermediazione;
5615;A000004731;A000377055;Responsabile dell'attività di intermediazione;
5616;A000146895;A000146898;Responsabile dell'attività di intermediazione;
5617;A000147085;A000699635;Responsabile dell'attività di intermediazione;
5618;A000120234;A000516474;Responsabile dell'attività di intermediazione;
5619;B000004540;B000541119;Responsabile dell'attività di intermediazione;
5620;B000004540;B000541119;Rappresentante Legale;
5621;A000165321;A000671187;Responsabile dell'attività di intermediazione;
5622;A000000680;A000011851;Responsabile dell'attività di intermediazione;
5623;A000053815;A000051049;Responsabile dell'attività di intermediazione;
5624;A000182105;A000182107;Responsabile dell'attività di intermediazione;
5625;A000073586;A000292152;Responsabile dell'attività di intermediazione;
5626;A000087032;A000292152;Responsabile dell'attività di intermediazione;
5627;A000120975;A000620815;Responsabile dell'attività di intermediazione;
5628;A000073821;A000073822;Responsabile dell'attività di intermediazione;
5629;A000165658;A000618372;Responsabile dell'attività di intermediazione;
5630;A000000687;A000054864;Responsabile dell'attività di intermediazione;
5631;A000165832;A000218391;Responsabile dell'attività di intermediazione;
5632;B000014013;B000014413;Amministratore Delegato;
5633;B000013113;B000014268;Responsabile dell'attività di intermediazione;
5634;B000013113;B000014268;Rappresentante Legale;
5635;A000130060;A000223729;Responsabile dell'attività di intermediazione;
5636;A000087129;A000710815;Responsabile dell'attività di intermediazione;
5637;A000000161;A000097371;Responsabile dell'attività di intermediazione;
5638;A000147199;A000171999;Responsabile dell'attività di intermediazione;
5639;A000001475;A000755254;Responsabile dell'attività di intermediazione;
5640;A000157998;A000157999;Responsabile dell'attività di intermediazione;
5641;A000000627;A000011833;Responsabile dell'attività di intermediazione;
5642;A000003108;A000012143;Responsabile dell'attività di intermediazione;
5643;A000003110;A000012410;Responsabile dell'attività di intermediazione;
5644;A000001958;A000196466;Responsabile dell'attività di intermediazione;
5645;A000000520;A000485462;Responsabile dell'attività di intermediazione;
5646;A000000364;A000707001;Responsabile dell'attività di intermediazione;
5647;A000000583;A000748635;Responsabile dell'attività di intermediazione;
5648;A000134853;A000117795;Responsabile dell'attività di intermediazione;
5649;A000000577;A000642056;Responsabile dell'attività di intermediazione;
5650;A000073637;A000103900;Responsabile dell'attività di intermediazione;
5651;A000146577;A000146578;Responsabile dell'attività di intermediazione;
5652;A000050534;A000060307;Responsabile dell'attività di intermediazione;
5653;A000078897;A000801413;Responsabile dell'attività di intermediazione;
5654;A000159286;A000158127;Responsabile dell'attività di intermediazione;
5655;A000003357;A000121206;Responsabile dell'attività di intermediazione;
5656;A000004423;A000283899;Responsabile dell'attività di intermediazione;
5657;A000005857;A000639108;Responsabile dell'attività di intermediazione;
5658;A000079382;A000080192;Responsabile dell'attività di intermediazione;
5659;A000004109;A000402972;Responsabile dell'attività di intermediazione;
5660;A000120930;A000182363;Responsabile dell'attività di intermediazione;
5661;A000055269;A000135513;Responsabile dell'attività di intermediazione;
5662;A000002868;A000012097;Responsabile dell'attività di intermediazione;
5663;A000142050;A000626896;Responsabile dell'attività di intermediazione;
5664;A000107671;A000331469;Responsabile dell'attività di intermediazione;
5665;A000004070;A000012280;Responsabile dell'attività di intermediazione;
5666;A000090137;A000101827;Responsabile dell'attività di intermediazione;
5667;A000079316;A000080027;Responsabile dell'attività di intermediazione;
5668;A000148267;A000148271;Responsabile dell'attività di intermediazione;
5669;A000148179;A000148181;Responsabile dell'attività di intermediazione;
5670;A000087831;A000324146;Responsabile dell'attività di intermediazione;
5671;A000137114;A000012549;Responsabile dell'attività di intermediazione;
5672;A000080094;A000607996;Responsabile dell'attività di intermediazione;
5673;A000006335;A000012477;Responsabile dell'attività di intermediazione;
5674;A000004124;A000252257;Responsabile dell'attività di intermediazione;
5675;A000121465;A000570418;Responsabile dell'attività di intermediazione;
5676;A000003510;A000610183;Responsabile dell'attività di intermediazione;
5677;A000002759;A000669573;Responsabile dell'attività di intermediazione;
5678;A000070196;A000067671;Responsabile dell'attività di intermediazione;
5679;A000166696;A000166698;Responsabile dell'attività di intermediazione;
5680;A000002783;A000377908;Responsabile dell'attività di intermediazione;
5681;A000009075;A000011718;Responsabile dell'attività di intermediazione;
5682;A000080100;A000554949;Responsabile dell'attività di intermediazione;
5683;A000107716;A000107694;Responsabile dell'attività di intermediazione;
5684;A000003633;A000012681;Responsabile dell'attività di intermediazione;
5685;A000055561;A000087959;Responsabile dell'attività di intermediazione;
5686;A000004843;A000326152;Responsabile dell'attività di intermediazione;
5687;A000004845;A000012357;Responsabile dell'attività di intermediazione;
5688;A000148304;A000151769;Responsabile dell'attività di intermediazione;
5689;A000002840;A000198510;Responsabile dell'attività di intermediazione;
5690;A000002215;A000163952;Responsabile dell'attività di intermediazione;
5691;A000004244;A000701750;Responsabile dell'attività di intermediazione;
5692;A000053725;A000053744;Responsabile dell'attività di intermediazione;
5693;A000107241;A000443666;Responsabile dell'attività di intermediazione;
5694;A000002438;A000728834;Responsabile dell'attività di intermediazione;
5695;A000074174;A000101578;Responsabile dell'attività di intermediazione;
5696;A000070321;A000720855;Responsabile dell'attività di intermediazione;
5697;A000183425;A000184328;Responsabile dell'attività di intermediazione;
5698;A000159046;A000287275;Responsabile dell'attività di intermediazione;
5699;A000050539;A000109166;Responsabile dell'attività di intermediazione;
5700;A000183240;A000163602;Responsabile dell'attività di intermediazione;
5701;A000121078;A000121130;Responsabile dell'attività di intermediazione;
5702;A000070516;A000801413;Responsabile dell'attività di intermediazione;
5703;A000054178;A000538621;Responsabile dell'attività di intermediazione;
5704;A000003480;A000012381;Responsabile dell'attività di intermediazione;
5705;A000004699;A000012488;Responsabile dell'attività di intermediazione;
5706;A000003428;A000118108;Responsabile dell'attività di intermediazione;
5707;A000186015;A000287092;Responsabile dell'attività di intermediazione;
5708;A000004773;A000074548;Responsabile dell'attività di intermediazione;
5709;A000146516;A000148078;Responsabile dell'attività di intermediazione;
5710;A000086960;A000482499;Responsabile dell'attività di intermediazione;
5711;A000130047;A000480188;Responsabile dell'attività di intermediazione;
5712;A000122627;A000182363;Responsabile dell'attività di intermediazione;
5713;A000137072;A000200004;Responsabile dell'attività di intermediazione;
5714;A000006179;A000269531;Responsabile dell'attività di intermediazione;
5715;A000005828;A000401384;Responsabile dell'attività di intermediazione;
5716;A000006615;A000109327;Responsabile dell'attività di intermediazione;
5717;A000007486;A000630942;Responsabile dell'attività di intermediazione;
5718;A000160913;A000431199;Responsabile dell'attività di intermediazione;
5719;A000121391;A000354781;Responsabile dell'attività di intermediazione;
5720;A000003300;A000284426;Responsabile dell'attività di intermediazione;
5721;A000130926;A000148274;Responsabile dell'attività di intermediazione;
5722;A000729699;A000172423;Responsabile dell'attività di intermediazione;
5723;A000003264;A000247386;Responsabile dell'attività di intermediazione;
5724;A000131804;A000358439;Responsabile dell'attività di intermediazione;
5725;A000130219;A000144763;Responsabile dell'attività di intermediazione;
5726;A000057595;A000448710;Responsabile dell'attività di intermediazione;
5727;A000130123;A000147817;Responsabile dell'attività di intermediazione;
5728;A000055396;A000464650;Responsabile dell'attività di intermediazione;
5729;A000004709;A000012488;Responsabile dell'attività di intermediazione;
5730;A000056497;A000108931;Responsabile dell'attività di intermediazione;
5731;A000135580;A000142060;Responsabile dell'attività di intermediazione;
5732;A000002885;A000012103;Responsabile dell'attività di intermediazione;
5733;A000002329;A000650686;Responsabile dell'attività di intermediazione;
5734;A000136621;A000676211;Responsabile dell'attività di intermediazione;
5735;A000009054;A000012890;Responsabile dell'attività di intermediazione;
5736;A000009060;A000435829;Responsabile dell'attività di intermediazione;
5737;A000143348;A000629174;Responsabile dell'attività di intermediazione;
5738;A000003308;A000012417;Responsabile dell'attività di intermediazione;
5739;A000003390;A000591557;Responsabile dell'attività di intermediazione;
5740;A000130329;A000118064;Responsabile dell'attività di intermediazione;
5741;A000167154;A000162708;Responsabile dell'attività di intermediazione;
5742;A000183388;A000069396;Responsabile dell'attività di intermediazione;
5743;A000005450;A000012439;Responsabile dell'attività di intermediazione;
5744;A000131371;A000131350;Responsabile dell'attività di intermediazione;
5745;A000004030;A000012280;Responsabile dell'attività di intermediazione;
5746;A000416881;A000407502;Responsabile dell'attività di intermediazione;
5747;A000416881;A000778453;Responsabile dell'attività di intermediazione;
5748;A000004041;A000012488;Responsabile dell'attività di intermediazione;
5749;A000055686;A000197616;Responsabile dell'attività di intermediazione;
5750;A000130143;A000050487;Responsabile dell'attività di intermediazione;
5751;A000004270;A000618780;Responsabile dell'attività di intermediazione;
5752;A000142281;A000319301;Responsabile dell'attività di intermediazione;
5753;A000078890;A000578594;Responsabile dell'attività di intermediazione;
5754;B000004341;B000421224;Rappresentante Legale;
5755;A000166352;A000682736;Responsabile dell'attività di intermediazione;
5756;A000123156;A000118291;Responsabile dell'attività di intermediazione;
5757;A000004835;A000640664;Responsabile dell'attività di intermediazione;
5758;A000006338;A000012556;Responsabile dell'attività di intermediazione;
5759;A000006338;A000812845;Responsabile dell'attività di intermediazione;
5760;A000003884;A000762101;Responsabile dell'attività di intermediazione;
5761;A000003320;A000012248;Responsabile dell'attività di intermediazione;
5762;A000691100;A000678270;Responsabile dell'attività di intermediazione;
5763;A000070626;A000070629;Responsabile dell'attività di intermediazione;
5764;A000182881;A000163602;Responsabile dell'attività di intermediazione;
5765;A000158379;A000513736;Responsabile dell'attività di intermediazione;
5766;A000002442;A000719403;Responsabile dell'attività di intermediazione;
5767;A000002442;A000142079;Responsabile dell'attività di intermediazione;
5768;A000070293;A000132325;Responsabile dell'attività di intermediazione;
5769;A000004302;A000553471;Responsabile dell'attività di intermediazione;
5770;A000157983;A000533905;Responsabile dell'attività di intermediazione;
5771;A000141028;A000533905;Responsabile dell'attività di intermediazione;
5772;A000005896;A000080305;Responsabile dell'attività di intermediazione;
5773;A000003709;A000342627;Responsabile dell'attività di intermediazione;
5774;A000142197;A000142864;Responsabile dell'attività di intermediazione;
5775;A000004234;A000443631;Responsabile dell'attività di intermediazione;
5776;A000143240;A000648978;Responsabile dell'attività di intermediazione;
5777;A000006510;A000533200;Responsabile dell'attività di intermediazione;
5778;A000151774;A000232125;Responsabile dell'attività di intermediazione;
5779;A000007914;A000106351;Responsabile dell'attività di intermediazione;
5780;A000166857;A000375568;Responsabile dell'attività di intermediazione;
5781;A000183295;A000564434;Responsabile dell'attività di intermediazione;
5782;A000005018;A000374043;Responsabile dell'attività di intermediazione;
5783;A000006469;A000788777;Responsabile dell'attività di intermediazione;
5784;A000131618;A000598990;Responsabile dell'attività di intermediazione;
5785;A000051893;A000676210;Responsabile dell'attività di intermediazione;
5786;A000167490;A000163449;Responsabile dell'attività di intermediazione;
5787;A000161785;A000072704;Responsabile dell'attività di intermediazione;
5788;A000161785;A000163449;Responsabile dell'attività di intermediazione;
5789;A000141569;A000162428;Responsabile dell'attività di intermediazione;
5790;B000167402;B000621758;Responsabile dell'attività di intermediazione;
5791;A000073847;A000276064;Responsabile dell'attività di intermediazione;
5792;A000056013;A000135828;Responsabile dell'attività di intermediazione;
5793;A000163094;A000775923;Responsabile dell'attività di intermediazione;
5794;B000083430;B000128398;Responsabile dell'attività di intermediazione;
5795;A000006995;A000244712;Responsabile dell'attività di intermediazione;
5796;A000124657;A000256262;Responsabile dell'attività di intermediazione;
5797;A000143771;A000180617;Responsabile dell'attività di intermediazione;
5798;A000132987;A000407359;Responsabile dell'attività di intermediazione;
5799;A000190127;A000631488;Responsabile dell'attività di intermediazione;
5800;A000118048;A000129230;Responsabile dell'attività di intermediazione;
5801;A000010331;A000013068;Responsabile dell'attività di intermediazione;
5802;A000070666;A000090335;Responsabile dell'attività di intermediazione;
5803;A000118474;A000433842;Responsabile dell'attività di intermediazione;
5804;A000087506;A000768821;Responsabile dell'attività di intermediazione;
5805;A000008211;A000012779;Responsabile dell'attività di intermediazione;
5806;A000151765;A000357251;Responsabile dell'attività di intermediazione;
5807;A000081593;A000498668;Responsabile dell'attività di intermediazione;
5808;A000092368;A000332283;Responsabile dell'attività di intermediazione;
5809;A000137435;A000154107;Responsabile dell'attività di intermediazione;
5810;A000074621;A000056485;Responsabile dell'attività di intermediazione;
5811;A000074623;A000646000;Responsabile dell'attività di intermediazione;
5812;A000167081;A000096475;Responsabile dell'attività di intermediazione;
5813;A000124913;A000551302;Responsabile dell'attività di intermediazione;
5814;A000113926;A000665880;Responsabile dell'attività di intermediazione;
5815;A000183750;A000726604;Responsabile dell'attività di intermediazione;
5816;A000005546;A000727828;Responsabile dell'attività di intermediazione;
5817;A000007272;A000012659;Responsabile dell'attività di intermediazione;
5818;A000118530;A000591686;Responsabile dell'attività di intermediazione;
5819;A000008810;A000534112;Responsabile dell'attività di intermediazione;
5820;A000056545;A000302402;Responsabile dell'attività di intermediazione;
5821;A000070767;A000070809;Responsabile dell'attività di intermediazione;
5822;A000075351;A000116073;Responsabile dell'attività di intermediazione;
5823;A000124689;A000124717;Responsabile dell'attività di intermediazione;
5824;A000010272;A000197607;Responsabile dell'attività di intermediazione;
5825;A000143064;A000161786;Responsabile dell'attività di intermediazione;
5826;A000007375;A000334236;Responsabile dell'attività di intermediazione;
5827;A000008272;A000013037;Responsabile dell'attività di intermediazione;
5828;A000006095;A000079248;Responsabile dell'attività di intermediazione;
5829;A000172663;A000166987;Responsabile dell'attività di intermediazione;
5830;A000172663;A000760045;Responsabile dell'attività di intermediazione;
5831;A000005737;A000797681;Responsabile dell'attività di intermediazione;
5832;A000074733;A000762079;Responsabile dell'attività di intermediazione;
5833;A000135249;A000699635;Responsabile dell'attività di intermediazione;
5834;A000009594;A000012969;Responsabile dell'attività di intermediazione;
5835;A000133210;A000403262;Responsabile dell'attività di intermediazione;
5836;A000061597;A000675194;Responsabile dell'attività di intermediazione;
5837;A000148364;A000166835;Responsabile dell'attività di intermediazione;
5838;A000007459;A000550744;Responsabile dell'attività di intermediazione;
5839;A000054036;A000091030;Responsabile dell'attività di intermediazione;
5840;A000005324;A000012363;Responsabile dell'attività di intermediazione;
5841;A000006744;A000231954;Responsabile dell'attività di intermediazione;
5842;A000143773;A000392938;Responsabile dell'attività di intermediazione;
5843;A000009160;A000054163;Responsabile dell'attività di intermediazione;
5844;A000777266;A000514527;Responsabile dell'attività di intermediazione;
5845;A000167325;A000125293;Responsabile dell'attività di intermediazione;
5846;A000070380;A000559745;Responsabile dell'attività di intermediazione;
5847;A000111001;A000315826;Responsabile dell'attività di intermediazione;
5848;A000007430;A000303596;Responsabile dell'attività di intermediazione;
5849;A000005550;A000012422;Responsabile dell'attività di intermediazione;
5850;A000123181;A000123182;Responsabile dell'attività di intermediazione;
5851;A000075043;A000484057;Responsabile dell'attività di intermediazione;
5852;A000006641;A000748945;Responsabile dell'attività di intermediazione;
5853;A000108720;A000108774;Responsabile dell'attività di intermediazione;
5854;A000008685;A000331256;Responsabile dell'attività di intermediazione;
5855;A000110987;A000786086;Responsabile dell'attività di intermediazione;
5856;A000007932;A000169592;Responsabile dell'attività di intermediazione;
5857;A000060195;A000060199;Responsabile dell'attività di intermediazione;
5858;A000010228;A000012953;Responsabile dell'attività di intermediazione;
5859;A000154535;A000764980;Responsabile dell'attività di intermediazione;
5860;A000163346;A000446215;Responsabile dell'attività di intermediazione;
5861;B000057790;B000355602;Responsabile dell'attività di intermediazione;
5862;A000167492;A000400856;Responsabile dell'attività di intermediazione;
5863;A000135424;A000299327;Responsabile dell'attività di intermediazione;
5864;A000005528;A000142354;Responsabile dell'attività di intermediazione;
5865;A000074558;A000122773;Responsabile dell'attività di intermediazione;
5866;A000052303;A000111363;Responsabile dell'attività di intermediazione;
5867;A000008347;A000012797;Responsabile dell'attività di intermediazione;
5868;A000131300;A000347659;Responsabile dell'attività di intermediazione;
5869;A000132172;A000131526;Responsabile dell'attività di intermediazione;
5870;A000091027;A000071177;Responsabile dell'attività di intermediazione;
5871;A000053939;A000540883;Responsabile dell'attività di intermediazione;
5872;A000131970;A000642030;Responsabile dell'attività di intermediazione;
5873;A000008439;A000196576;Responsabile dell'attività di intermediazione;
5874;A000008404;A000294723;Responsabile dell'attività di intermediazione;
5875;A000131927;A000131998;Responsabile dell'attività di intermediazione;
5876;A000131928;A000744015;Responsabile dell'attività di intermediazione;
5877;A000006776;A000279499;Responsabile dell'attività di intermediazione;
5878;A000067035;A000314152;Responsabile dell'attività di intermediazione;
5879;A000084598;A000084578;Responsabile dell'attività di intermediazione;
5880;A000067982;A000055609;Responsabile dell'attività di intermediazione;
5881;A000060562;A000449690;Responsabile dell'attività di intermediazione;
5882;A000010307;A000556523;Responsabile dell'attività di intermediazione;
5883;A000124421;A000587606;Responsabile dell'attività di intermediazione;
5884;A000153876;A000606548;Responsabile dell'attività di intermediazione;
5885;A000009217;A000350465;Responsabile dell'attività di intermediazione;
5886;A000132700;A000086476;Responsabile dell'attività di intermediazione;
5887;A000007114;A000362182;Responsabile dell'attività di intermediazione;
5888;A000062675;A000076208;Responsabile dell'attività di intermediazione;
5889;A000062675;A000697637;Responsabile dell'attività di intermediazione;
5890;A000008432;A000065129;Responsabile dell'attività di intermediazione;
5891;A000008432;A000733762;Responsabile dell'attività di intermediazione;
5892;A000075381;A000541371;Responsabile dell'attività di intermediazione;
5893;A000068391;A000767914;Responsabile dell'attività di intermediazione;
5894;A000076867;A000051757;Responsabile dell'attività di intermediazione;
5895;A000076870;A000728800;Responsabile dell'attività di intermediazione;
5896;A000061790;A000680880;Responsabile dell'attività di intermediazione;
5897;B000173480;B000605520;Rappresentante Legale;
5898;A000162731;A000487433;Responsabile dell'attività di intermediazione;
5899;A000168516;A000115766;Responsabile dell'attività di intermediazione;
5900;A000172839;A000268646;Responsabile dell'attività di intermediazione;
5901;A000051759;A000559201;Responsabile dell'attività di intermediazione;
5902;A000603975;A000603629;Responsabile dell'attività di intermediazione;
5903;A000009530;A000560995;Responsabile dell'attività di intermediazione;
5904;A000173988;A000123801;Responsabile dell'attività di intermediazione;
5905;A000072189;A000449690;Responsabile dell'attività di intermediazione;
5906;A000125063;A000636503;Responsabile dell'attività di intermediazione;
5907;A000010143;A000650686;Responsabile dell'attività di intermediazione;
5908;A000154769;A000154934;Responsabile dell'attività di intermediazione;
5909;A000131925;A000280564;Responsabile dell'attività di intermediazione;
5910;A000125023;A000455286;Responsabile dell'attività di intermediazione;
5911;A000076228;A000805771;Responsabile dell'attività di intermediazione;
5912;A000180974;A000781613;Responsabile dell'attività di intermediazione;
5913;A000068295;A000722523;Responsabile dell'attività di intermediazione;
5914;A000173638;A000665904;Responsabile dell'attività di intermediazione;
5915;A000068104;A000504472;Responsabile dell'attività di intermediazione;
5916;A000009446;A000111710;Responsabile dell'attività di intermediazione;
5917;A000058431;A000489884;Responsabile dell'attività di intermediazione;
5918;A000084504;A000084470;Responsabile dell'attività di intermediazione;
5919;A000154910;A000400436;Responsabile dell'attività di intermediazione;
5920;A000010334;A000012905;Responsabile dell'attività di intermediazione;
5921;A000052847;A000120283;Responsabile dell'attività di intermediazione;
5922;A000061576;A000061578;Responsabile dell'attività di intermediazione;
5923;B000184502;B000703190;Responsabile dell'attività di intermediazione;
5924;A000066479;A000391589;Responsabile dell'attività di intermediazione;
5925;A000075825;A000075895;Responsabile dell'attività di intermediazione;
5926;A000009502;A000511476;Responsabile dell'attività di intermediazione;
5927;A000133059;A000449204;Responsabile dell'attività di intermediazione;
5928;A000009145;A000012919;Responsabile dell'attività di intermediazione;
5929;A000080535;A000133575;Responsabile dell'attività di intermediazione;
5930;A000064722;A000639355;Responsabile dell'attività di intermediazione;
5931;A000184461;A000630724;Responsabile dell'attività di intermediazione;
5932;A000118744;A000125114;Responsabile dell'attività di intermediazione;
5933;A000128541;A000121652;Responsabile dell'attività di intermediazione;
5934;A000065334;A000067711;Responsabile dell'attività di intermediazione;
5935;A000063654;A000116187;Responsabile dell'attività di intermediazione;
5936;A000006885;A000672323;Responsabile dell'attività di intermediazione;
5937;B000163006;B000601197;Rappresentante Legale;
5938;A000132180;A000140116;Responsabile dell'attività di intermediazione;
5939;A000155436;A000707743;Responsabile dell'attività di intermediazione;
5940;A000083812;A000083816;Responsabile dell'attività di intermediazione;
5941;A000067403;A000081959;Responsabile dell'attività di intermediazione;
5942;A000009669;A000672323;Responsabile dell'attività di intermediazione;
5943;A000010418;A000060851;Responsabile dell'attività di intermediazione;
5944;A000075762;A000075731;Responsabile dell'attività di intermediazione;
5945;A000170325;A000168576;Responsabile dell'attività di intermediazione;
5946;A000186207;A000114017;Responsabile dell'attività di intermediazione;
5947;A000057655;A000569999;Responsabile dell'attività di intermediazione;
5948;A000091002;A000097991;Responsabile dell'attività di intermediazione;
5949;A000187297;A000446945;Responsabile dell'attività di intermediazione;
5950;A000153916;A000012454;Responsabile dell'attività di intermediazione;
5951;A000075507;A000107860;Responsabile dell'attività di intermediazione;
5952;A000169344;A000529577;Responsabile dell'attività di intermediazione;
5953;A000173323;A000180265;Responsabile dell'attività di intermediazione;
5954;A000066539;A000108005;Responsabile dell'attività di intermediazione;
5955;A000066575;A000138014;Responsabile dell'attività di intermediazione;
5956;A000073283;A000072780;Responsabile dell'attività di intermediazione;
5957;A000066157;A000113671;Responsabile dell'attività di intermediazione;
5958;A000153977;A000438285;Responsabile dell'attività di intermediazione;
5959;A000738102;A000743758;Responsabile dell'attività di intermediazione;
5960;A000061801;A000576788;Responsabile dell'attività di intermediazione;
5961;A000007949;A000402959;Responsabile dell'attività di intermediazione;
5962;A000076812;A000602321;Responsabile dell'attività di intermediazione;
5963;A000071725;A000377822;Responsabile dell'attività di intermediazione;
5964;A000133056;A000162329;Responsabile dell'attività di intermediazione;
5965;B000007058;B000483930;Responsabile dell'attività di intermediazione;
5966;A000072903;A000072907;Responsabile dell'attività di intermediazione;
5967;A000007702;A000723865;Responsabile dell'attività di intermediazione;
5968;A000131837;A000672666;Responsabile dell'attività di intermediazione;
5969;A000137981;A000590769;Responsabile dell'attività di intermediazione;
5970;A000009366;A000717963;Responsabile dell'attività di intermediazione;
5971;A000008460;A000012531;Responsabile dell'attività di intermediazione;
5972;A000099309;A000631980;Responsabile dell'attività di intermediazione;
5973;A000144382;A000151667;Responsabile dell'attività di intermediazione;
5974;B000144739;B000398343;Responsabile dell'attività di intermediazione;
5975;B000008556;B000070946;Responsabile dell'attività di intermediazione;
5976;A000009562;A000286107;Responsabile dell'attività di intermediazione;
5977;A000062902;A000713398;Responsabile dell'attività di intermediazione;
5978;A000010416;A000061765;Responsabile dell'attività di intermediazione;
5979;A000052999;A000111129;Responsabile dell'attività di intermediazione;
5980;A000061157;A000053304;Responsabile dell'attività di intermediazione;
5981;A000051776;A000619724;Responsabile dell'attività di intermediazione;
5982;A000132791;A000124394;Responsabile dell'attività di intermediazione;
5983;A000064259;A000311000;Responsabile dell'attività di intermediazione;
5984;B000335606;B000783621;Rappresentante Legale;
5985;A000074062;A000306747;Responsabile dell'attività di intermediazione;
5986;B000088899;B000190757;Responsabile dell'attività di intermediazione;
5987;A000335915;A000797887;Responsabile dell'attività di intermediazione;
5988;A000065183;A000267077;Responsabile dell'attività di intermediazione;
5989;A000005568;A000554370;Responsabile dell'attività di intermediazione;
5990;A000068955;A000066789;Responsabile dell'attività di intermediazione;
5991;A000190285;A000401506;Responsabile dell'attività di intermediazione;
5992;A000288221;A000672322;Responsabile dell'attività di intermediazione;
5993;B000142819;B000144061;Amministratore Delegato;
5994;A000100324;A000100308;Responsabile dell'attività di intermediazione;
5995;B000349897;B000243223;Responsabile dell'attività di intermediazione;
5996;A000329746;A000276557;Responsabile dell'attività di intermediazione;
5997;A000158069;A000066252;Responsabile dell'attività di intermediazione;
5998;B000014209;B000014411;Rappresentante Legale;
5999;B000739904;B000763764;Rappresentante Legale;
6000;A000005150;A000070403;Responsabile dell'attività di intermediazione;
6001;B000354222;B000117871;Responsabile dell'attività di intermediazione;
6002;A000049632;A000197658;Responsabile dell'attività di intermediazione;
6003;B000618887;B000620361;Responsabile dell'attività di intermediazione;
6004;A000008480;A000012771;Responsabile dell'attività di intermediazione;
6005;A000119872;A000640503;Responsabile dell'attività di intermediazione;
6006;A000050544;A000012042;Responsabile dell'attività di intermediazione;
6007;A000130591;A000534104;Responsabile dell'attività di intermediazione;
6008;A000085743;A000731593;Responsabile dell'attività di intermediazione;
6009;B000080165;B000488439;Rappresentante Legale;
6010;A000162149;A000436255;Responsabile dell'attività di intermediazione;
6011;A000157659;A000157658;Responsabile dell'attività di intermediazione;
6012;A000160794;A000616875;Responsabile dell'attività di intermediazione;
6013;A000154225;A000377722;Responsabile dell'attività di intermediazione;
6014;A000304788;A000196468;Responsabile dell'attività di intermediazione;
6015;A000124849;A000599585;Responsabile dell'attività di intermediazione;
6016;A000058006;A000400382;Responsabile dell'attività di intermediazione;
6017;B000118094;B000144061;Responsabile dell'attività di intermediazione;
6018;B000158128;B000478368;Responsabile dell'attività di intermediazione;
6019;B000127094;B000117871;Responsabile dell'attività di intermediazione;
6020;B000083591;B000383521;Responsabile dell'attività di intermediazione;
6021;A000009317;A000712674;Responsabile dell'attività di intermediazione;
6022;A000063543;A000314445;Responsabile dell'attività di intermediazione;
6023;A000139774;A000187281;Responsabile dell'attività di intermediazione;
6024;A000357113;A000156824;Responsabile dell'attività di intermediazione;
6025;B000164737;B000663183;Responsabile dell'attività di intermediazione;
6026;A000010019;A000265245;Responsabile dell'attività di intermediazione;
6027;B000003903;B000642697;Responsabile dell'attività di intermediazione;
6028;A000069691;A000238959;Responsabile dell'attività di intermediazione;
6029;A000317282;A000731044;Responsabile dell'attività di intermediazione;
6030;B000013753;B000065127;Rappresentante Legale;
6031;B000362720;B000407465;Responsabile dell'attività di intermediazione;
6032;B000098940;B000055861;Responsabile dell'attività di intermediazione;
6033;B000013356;B000117871;Responsabile dell'attività di intermediazione;
6034;B000142456;B000548946;Responsabile dell'attività di intermediazione;
6035;B000082805;B000197920;Responsabile dell'attività di intermediazione;
6036;B000082805;B000197920;Rappresentante Legale;
